username,full_text
Sifulan18499170,ngurusin bumn banyak yang korupsinya ngurusin timnas banyak yang naturalisasinya ngurusin danantara banyak yang
gayoesme,danantara kelola 7 aset bumn raksasa
doresekai,analisis org awam bumn lg bersih2 pejabat lama krn pejabat baru antek danantara mau diposisikan hehe
embk321,secara terhormat baiknya bpk mundur sebagai menteri bumn biar tidak terganggu saat penyelidikan lebih jauh anda sudah cukup sibuk sbgai ketua pssi dan dewas danantara
gayoesme,kehadiran bpi danantara dapat mengurangi ketergantungan bumn terhadap penyertaan modal negara
LLiatono,yang lebih mungkin terjadi danantara miss management ikn mangkrak sebagian bumn terancam bangkrut kejaksaan dan polisi semakin arogan kpk mati suri peringkat korupsi naik surat utang negara down grade
_s_i_s_k_a,kayak ada yang sengaja bongkar kebobrokan bumn gak sih mungkin mereka juga gak suka danantara
kupatt,harusnya udah ada danantara kemeterian bumn dibubarin pemborosan ada dua instansi yang tugasnya samaan
ronavioleta,benarkah danantara jadi penghambat merger bumn karya
_SANWELL,just one question ngapain masih pake bank bumn duit lo nnt di pake buat danantara bjir stop using bank bumnpemerintah
tvOneNews,presiden prabowo subianto resmi menandatangani keppres tentang badan pengelola investasi daya anagata nusantara danantara danantara menjadi badan pengelola modal yang ada di bumn ke dalam proyekproyek berkelanjutan dan berdampak tinggi kepada masyarakat penandatangan
bumnbersatu,likuiditas industri perbankan bumn yg sudah mencapai sekitar 90 artinya berbahaya bagi bankbank bumn jika menyalurkan kredit untuk programprogram hilirisasi lewat danantara tersebut amp akhirnya bank bumn mengandalkan dana pihak ketiga dpk utk investasi hilirisasi ambles
agent_pin,semua bumn yg komisaris dan direksinya dipilih berdasarkan balas budi politik hanya tinggal menunggu waktu satu persatu hancur bgt pula akan halnya dg danantara ketua tim pakarnya aja ex napi koruptor bi hidup et
_haye_,ina itu bumn ya kok lucu banget namanya katanya kan semua bumn akan jadi bagian danantara artinya ya sekarang atau nanti akan masuk juga
cangpanjaaang,danantara ini kabarnya dipake sbg alasan saham himbara dan bumn lainnya anjlok sptnya bkn krn danantara tp krn yg korupsi trilyunan diproses hukum jd pd cabut daripada ditangkep kl memang anjlok ini kesempatan buat beli sahamnya yg lg murah
machrilmachril1,ojo lali uang nasabah bumn jiwasraya dikembalikan agar danantara barokah
theluckiestboy,emang bangke ini efek bumn sapi perah dimasukin danantara semua mas bowo mas bowo
ruliemaulana,iya aneh kayaknya rosan baru liat beban utang bumn karya di ina terlalu besar jadi ngga mau danantara punya dia direcokin ikut nanggung
rizekamaulana,jangan jangan investor nya bumn terus di inject pakai duit danantara
msaid_didu,ada 2 kbjkn pem yg hasilnya bertolak belakang 1 penahanan devisa ekspor selama 1 satu tahun hasilnya rupiah malah melemah 2 pembentukan danantara hasilnya 1 saham turun 2 rupiah melemah 3 investor keluar 4 penarikan uang di bank bumn kepercayaan anjlok
MartinusButarb1,prof ferry msh sopan itu ngomongnya hrs nya dia sebut aja danantara membajak uang tabungan rakyat sblm nya negara mengandalkan sbn utk cari dana skrg jual sbn ga ada lagi yg beli krn pembeli terbesar sbn ya bank2 bumn itu skrg bank bumn pembeli sbn itu ditarik masuk
MartinusButarb1,tepatnya pake uang tabungan rakyat danantara ga punya uang danantara mengandalkan uang rakyat di bumn bank yg kalian bajak ke danantara jangan suka2 kau pake uang itu tanya dulu ke rakyat
oldivawnd,sampai akhir maret 2025 saat bumn sudah masuk danantara apakah ihsg akan terbang
