,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
0,1897176946574024945,Wed Mar 05 16:50:05 +0000 2025,0,@erickthohir Ngurusin BUMN banyak yang korupsinya... Ngurusin timnas banyak yang naturalisasinya... Ngurusin danantara banyak yang.....????,1897328775492424086,,erickthohir,in,,0,0,0,https://x.com/Sifulan18499170/status/1897328775492424086,1369133928011898880,Sifulan18499170
1,1897317415341658428,Wed Mar 05 16:04:56 +0000 2025,0,Danantara kelola 7 Aset BUMN Raksasa. https://t.co/AeLtCNawvZ,1897317415341658428,https://pbs.twimg.com/media/GlSgILnWwAA5cCK.jpg,,in,"Gorontalo, Indonesia",0,0,0,https://x.com/gayoesme/status/1897317415341658428,1566807909799182336,gayoesme
2,1897311861105893702,Wed Mar 05 15:42:52 +0000 2025,0,Analisis org awam: BUMN lg bersih2 pejabat lama krn pejabat baru (antek danantara) mau diposisikan hehe,1897311861105893702,,,in,,0,0,0,https://x.com/doresekai/status/1897311861105893702,1160955968168927233,doresekai
3,1897176946574024945,Wed Mar 05 15:33:02 +0000 2025,0,@erickthohir Secara terhormat baiknya bpk mundur sebagai menteri BUMN biar tidak terganggu saat penyelidikan lebih jauh anda sudah cukup sibuk sbgai ketua PSSI dan Dewas Danantara.,1897309386508533987,,erickthohir,in,Indonesia,0,0,0,https://x.com/embk321/status/1897309386508533987,1720824785960312832,embk321
4,1897307592667619409,Wed Mar 05 15:25:55 +0000 2025,0,Kehadiran BPI Danantara dapat mengurangi ketergantungan BUMN terhadap penyertaan modal negara. https://t.co/MDTM8xZnaD,1897307592667619409,https://pbs.twimg.com/media/GlSXMZfXgAASDKv.jpg,,in,"Gorontalo, Indonesia",0,0,0,https://x.com/gayoesme/status/1897307592667619409,1566807909799182336,gayoesme
5,1896877234507677846,Wed Mar 05 15:21:39 +0000 2025,0,@malecatladyyy Yang lebih mungkin terjadi: - Danantara Miss management - ikn mangkrak - sebagian BUMN terancam bangkrut - kejaksaan dan polisi semakin arogan - KPK mati suri - peringkat korupsi naik - surat utang negara down grade,1897306522339958912,,malecatladyyy,in,Galaksi Bima sakti,0,0,0,https://x.com/LLiatono/status/1897306522339958912,1603897310144233472,LLiatono
6,1897297690180116592,Wed Mar 05 14:46:34 +0000 2025,0,kayak ada yang sengaja bongkar kebobrokan bumn gak sih? mungkin mereka juga gak suka danantara,1897297690180116592,,,in,Indonesia,0,0,0,https://x.com/_s_i_s_k_a/status/1897297690180116592,598870981,_s_i_s_k_a
7,1897111760488046671,Wed Mar 05 13:52:35 +0000 2025,0,@KangManto123 Harusnya udah ada Danantara Kemeterian BUMN dibubarin. Pemborosan ada dua instansi yang tugasnya samaan,1897284106398159344,,KangManto123,in,"Cimenyan, Bandung",0,0,0,https://x.com/kupatt/status/1897284106398159344,178743746,kupatt
8,1897275363585298822,Wed Mar 05 13:17:51 +0000 2025,0,Benarkah Danantara Jadi Penghambat Merger BUMN Karya? https://t.co/jpWiLdAvHq,1897275363585298822,,,in,,0,0,2,https://x.com/ronavioleta/status/1897275363585298822,485385284,ronavioleta
9,1897267135430451570,Wed Mar 05 12:45:09 +0000 2025,1,just one question.... ngapain masih pake bank bumn??? duit lo nnt di pake buat danantara bjir.... STOP USING BANK BUMN/PEMERINTAH,1897267135430451570,,,in,she/they - legal age,0,0,0,https://x.com/_SANWELL/status/1897267135430451570,1568533787507830784,_SANWELL
10,1897266037642719278,Wed Mar 05 12:40:47 +0000 2025,4,Presiden Prabowo Subianto resmi menandatangani Keppres tentang Badan Pengelola Investasi Daya Anagata Nusantara (Danantara). Danantara menjadi badan pengelola modal yang ada di BUMN ke dalam proyek-proyek berkelanjutan dan berdampak tinggi kepada masyarakat. Penandatangan https://t.co/1myrj9DCDP,1897266037642719278,https://pbs.twimg.com/ext_tw_video_thumb/1897265839566651392/pu/img/PIg3v24ZzeX1V_yR.jpg,,in,"Pulo Gadung, Indonesia",0,1,0,https://x.com/tvOneNews/status/1897266037642719278,55507370,tvOneNews
11,1896905071562248450,Wed Mar 05 12:35:49 +0000 2025,2,@prabowo @Dennysiregar7 @jokowi @anasurbaningrum @BosPurwa @akbarfaizal68 @faizalassegaf likuiditas industri perbankan BUMN yg sudah mencapai sekitar 90%. Artinya berbahaya bagi bank-bank BUMN jika menyalurkan kredit untuk program-program hilirisasi lewat Danantara tersebut &amp; akhirnya Bank BUMN mengandalkan Dana Pihak Ketiga (DPK) utk investasi hilirisasi. Ambles,1897264786423120345,,bumnbersatu,in,KPK,1,0,1,https://x.com/bumnbersatu/status/1897264786423120345,191951600,bumnbersatu
12,1897189976460419143,Wed Mar 05 12:24:26 +0000 2025,0,@MARQUEZ__93 Semua BUMN yg komisaris dan direksinya dipilih https://t.co/oLvjFfIEBW berdasarkan balas budi politik hanya tinggal menunggu waktu satu persatu hancur. Bgt pula akan halnya dg Danantara. Ketua tim pakarnya aja ex napi koruptor BI. Hidup ET !!!,1897261924511047785,,MARQUEZ__93,in,Indonesia,0,0,0,https://x.com/agent_pin/status/1897261924511047785,719200698,agent_pin
13,1897249331826319769,Wed Mar 05 12:13:36 +0000 2025,0,@ruliemaulana INA itu BUMN ya? Kok lucu banget namanya. Katanya kan semua BUMN akan jadi bagian Danantara artinya ya sekarang atau nanti akan masuk juga,1897259196300853374,,ruliemaulana,in,,0,1,0,https://x.com/_haye_/status/1897259196300853374,753553855,_haye_
14,1897258364490670256,Wed Mar 05 12:10:18 +0000 2025,0,Danantara ini kabarnya dipake sbg alasan saham himbara dan BUMN lainnya anjlok sptnya bkn krn Danantara tp krn yg korupsi trilyunan diproses hukum jd pd cabut #kaburduluaja daripada ditangkep. Kl memang anjlok ini kesempatan buat beli sahamnya yg lg murah.,1897258364490670256,,,in,,0,0,0,https://x.com/cangpanjaaang/status/1897258364490670256,1640631154503204864,cangpanjaaang
15,1897258046675673150,Wed Mar 05 12:09:02 +0000 2025,1,Ojo lali uang nasabah BUMN Jiwasraya dikembalikan agar Danantara barokah.,1897258046675673150,,,in,"Denpasar, Bali",0,1,0,https://x.com/machrilmachril1/status/1897258046675673150,1605727475694125058,machrilmachril1
