full_text,tweet_english,Subjectivity,Polarity,Analysis
ngurusin bumn banyak korupsi ngurusin timnas banyak naturalisasi ngurusin danantara banyak,ngurusin bumn many corruption ngurusin national team many naturalization ngurusin and between many,0.5,0.5,Positif
danantara kelola 7 aset bumn raksasa,and between managing 7 giant bumn assets,1.0,0.0,Positif
analisis orang awam bumn bersih2 jabat lama jabat baru antek danantara mau posisi hehe,analysis of laypeople bumn clean old posts new posts henchmen and between want to position hehe,0.4515151515151516,0.201010101010101,Positif
hormat baik bapak mundur menteri bumn biar ganggu lidi lebih jauh sudah cukup sibuk sbgai ketua pssi dewas danantara,"good respect, sir, step back, minister, bumn, let's disturb the stick further, it's busy enough as the head of pssi is an adult and",0.3666666666666667,0.15,Positif
hadir bpi danantara kurang gantung bumn serta modal negara,present bpi and between less hanging bumn and state capital,0.03333333333333333,-0.08333333333333333,Negatif
lebih mungkin jadi danantara miss management ikn mangkrak bagi bumn ancam bangkrut jaksa polisi makin arogan kpk mati suri peringkat korupsi naik surat utang negara down grade,more likely to be and between miss management and defunct for bumn threatens bankruptcy police prosecutors are increasingly arrogant kpk dead suri corruption ratings go up state debt down grade,0.5472222222222222,0.0361111111111111,Positif
kayak yang sengaja bongkar bobrok bumn sih mungkin juga suka danantara,kayaks who deliberately dismantle the dilapidated bumn might also like danantara,0.0,0.0,Positif
harus udah danantara kemeterian bumn dibubarin boros dua instansi tugas sama,must be and between the metric bumn dissolved wasteful two agencies of the same task,0.125,0.0,Positif
benar danantara jadi hambat merger bumn karya,true and between being an obstacle to the merger of bumn works,0.65,0.35,Positif
just satu question ngapain pake bank bumn duit kamu nnt pake buat danantara stop using bank bumnpemerintah,just one question why use bank bumn your money nnt use and between stop using bank bumn the government,0.0,0.0,Positif
presiden prabowo subianto resmi menandatangani keppres badan kelola investasi daya anagata nusantara danantara danantara jadi badan kelola modal ada bumn dalam proyekproyek lanjut dampak tinggi masyarakat penandatangan,president prabowo subianto officially signed the presidential decree of the power investment management agency anagata of the archipelago and the archipelago and between so the capital management body there is a bumn in further projects high impact of the signing community,0.52,0.08,Positif
likuiditas industri perban bumn sudah capai 90 arti bahaya bankbank bumn salur kredit programprogram hilir lewat danantara sebut akhir bank bumn andal dana pihak tiga dpk investasi hilir ambles,industrial liquidity bandage bumn has reached 90 meaning of danger bank bumn credit channel program downstream through and between the end of the bank bumn reliable third party funds dpk downstream investment sinks,0.0,-0.05,Negatif
semua bumn komisaris direksi pilih dasar balas budi politik tinggal tunggu waktu satu satu hancur banget akan hal danantara ketua tim pakar aja ex napi koruptor bi hidup et,all bumn commissioners of the board of directors choose a policy of political reciprocity just wait one time one is completely destroyed by things and between the head of the expert team aja ex prisoner corrupt bi live et,0.5,-0.06590909090909092,Negatif
ina bumn kok lucu banget nama kata kan semua bumn jadi bagi danantara arti sekarang nanti masuk,ina bumn how funny is the name of the word right all bumn so for and between the meaning now later in,0.5119047619047619,0.17857142857142858,Positif
danantara kabar dipake alas saham himbara bumn lain anjlok sptnya bkn danantara tp korupsi trilyunan proses hukum jd cabut ditangkep kl memang anjlok sempat buat beli saham yang lagi murah,and between the news used as a basis for the stock of himbara bumn others plummeted such as bkn and between but the corruption of trillions of legal processes jd pull out in the tank kl indeed plummeted for a time to buy shares that were cheaper,0.35,0.1,Positif
ojo lupa uang nasabah bumn jiwasraya kembali danantara barokah,ojo forgot the customer's money bumn jiwasraya returned and between barokah,0.0,0.0,Positif
emang bangke efek bumn sapi perah dimasukin danantara semua mas bowo mas bowo,emang bangke effect bumn cow milk entered and between all mas bowo mas bowo,0.16666666666666666,-0.13333333333333333,Negatif
