,full_text,tweet_english
0,ngurusin bumn banyak korupsi ngurusin timnas banyak naturalisasi ngurusin danantara banyak,ngurusin bumn many corruption ngurusin national team many naturalization ngurusin and between many
1,danantara kelola 7 aset bumn raksasa,and between managing 7 giant bumn assets
2,analisis orang awam bumn bersih2 jabat lama jabat baru antek danantara mau posisi hehe,analysis of laypeople bumn clean old posts new posts henchmen and between want to position hehe
3,hormat baik bapak mundur menteri bumn biar ganggu lidi lebih jauh sudah cukup sibuk sbgai ketua pssi dewas danantara,"good respect, sir, step back, minister, bumn, let's disturb the stick further, it's busy enough as the head of pssi is an adult and"
4,hadir bpi danantara kurang gantung bumn serta modal negara,present bpi and between less hanging bumn and state capital
5,lebih mungkin jadi danantara miss management ikn mangkrak bagi bumn ancam bangkrut jaksa polisi makin arogan kpk mati suri peringkat korupsi naik surat utang negara down grade,more likely to be and between miss management and defunct for bumn threatens bankruptcy police prosecutors are increasingly arrogant kpk dead suri corruption ratings go up state debt down grade
6,kayak yang sengaja bongkar bobrok bumn sih mungkin juga suka danantara,kayaks who deliberately dismantle the dilapidated bumn might also like danantara
7,harus udah danantara kemeterian bumn dibubarin boros dua instansi tugas sama,must be and between the metric bumn dissolved wasteful two agencies of the same task
8,benar danantara jadi hambat merger bumn karya,true and between being an obstacle to the merger of bumn works
9,just satu question ngapain pake bank bumn duit kamu nnt pake buat danantara stop using bank bumnpemerintah,just one question why use bank bumn your money nnt use and between stop using bank bumn the government
10,presiden prabowo subianto resmi menandatangani keppres badan kelola investasi daya anagata nusantara danantara danantara jadi badan kelola modal ada bumn dalam proyekproyek lanjut dampak tinggi masyarakat penandatangan,president prabowo subianto officially signed the presidential decree of the power investment management agency anagata of the archipelago and the archipelago and between so the capital management body there is a bumn in further projects high impact of the signing community
11,likuiditas industri perban bumn sudah capai 90 arti bahaya bankbank bumn salur kredit programprogram hilir lewat danantara sebut akhir bank bumn andal dana pihak tiga dpk investasi hilir ambles,industrial liquidity bandage bumn has reached 90 meaning of danger bank bumn credit channel program downstream through and between the end of the bank bumn reliable third party funds dpk downstream investment sinks
12,semua bumn komisaris direksi pilih dasar balas budi politik tinggal tunggu waktu satu satu hancur banget akan hal danantara ketua tim pakar aja ex napi koruptor bi hidup et,all bumn commissioners of the board of directors choose a policy of political reciprocity just wait one time one is completely destroyed by things and between the head of the expert team aja ex prisoner corrupt bi live et
13,ina bumn kok lucu banget nama kata kan semua bumn jadi bagi danantara arti sekarang nanti masuk,ina bumn how funny is the name of the word right all bumn so for and between the meaning now later in
14,danantara kabar dipake alas saham himbara bumn lain anjlok sptnya bkn danantara tp korupsi trilyunan proses hukum jd cabut ditangkep kl memang anjlok sempat buat beli saham yang lagi murah,and between the news used as a basis for the stock of himbara bumn others plummeted such as bkn and between but the corruption of trillions of legal processes jd pull out in the tank kl indeed plummeted for a time to buy shares that were cheaper
15,ojo lupa uang nasabah bumn jiwasraya kembali danantara barokah,ojo forgot the customer's money bumn jiwasraya returned and between barokah
16,emang bangke efek bumn sapi perah dimasukin danantara semua mas bowo mas bowo,emang bangke effect bumn cow milk entered and between all mas bowo mas bowo
17,iya aneh kayak ros baru liat beban utang bumn karya ina terlakamu besar jadi ngga mau danantara punya direcokin ikut nanggung,"yes it's strange like a new rosy look at the debt burden of bumn, my work is great so I don't want and between having a direcokin to take part in the dowry"
18,jangan jangan investor nya bumn terus inject pakai duit danantara,don't let the investors continue to inject using the money and between
19,2 kbjkn pem hasil tolak belakang 1 tahan devisa ekspor lama 1 satu tahun hasil rupiah malah lemah 2 bentuk danantara hasil 1 saham turun 2 rupiah lemah 3 investor keluar 4 tari uang bank bumn percaya anjlok,2 kbjkn pushback yield 1 hold long export foreign exchange 1 one year rupiah yield even weak 2 forms and between yields 1 share down 2 rupiah weak 3 investors out 4 bumn bank money dance believe plummeting
20,prof ferry msh sopan ngomongnya hrs nya sebut aja danantara bajak uang tabung rakyat sblm nya negara andal sbn cari dana sekarang jual sbn ada yang beli beli besar sbn bank2 bumn sekarang bank bumn beli sbn tarik masuk,prof ferry msh polite say it hrs just say it and between plough money from the people's fund sblm his reliable country sbn seek funds now sell sbn some buy big buy sbn bank2 bumn now bumn bank buy sbn pull in
21,tepat pake uang tabung rakyat danantara punya uang danantara andal uang rakyat bumn bank kalian bajak danantara jangan suka2 kau pake uang tanya duka rakyat,right to use people's money and between having money and between reliable people's money bumn bank you plow and between do not like it you use money to ask the people's grief
22,akhir maret 2025 bumn masuk danantara ihsg terbang,end of march 2025 bumn in and between ihsg flying
23,cash keras ada danantara dividen bumn realokasi efisiensi apbn equity bumn,hard cash exists and between the bumn dividend reallocation efficiency apbn equity bumn
24,fahri hamzah sebut danantara bangkit raksasa tidur bumn indonesia,fahri hamzah say danantara rise up sleeping giant bumn indonesia
25,menteri umkamu maman abdurrahman pasti danantara pengaruh salur kur bank bumn,minister umkamu maman abdurrahman definitely and between the influence of the bank curtain channel bumn
26,bentuk superholding bumn danantara timbul beberapa tanya salah satu isu soal conflict of interest struktur urus danantara lakamu bagaimana dapat ekonom juga dewan pakar prabowogibran ferry latuhihin kait ini bicara,the form of superholding bumn and between arises some questions one of the issues about conflict of interest the structure of the management and between your actions how can the economist and the expert board of prabowogibran ferry train this hook talk
27,spy masyarakat lihat bhwa bumn pada korup semua lebih baik percaya danantara fresh from the oven kelola aset negara,spy people see bhwa bumn on corruption all better believe and among fresh from the oven manage state assets
28,nahh iya wkwkw danantara tek udah kemenbumn udah ina buat danantara perusahaan2 under bumn nurutnya sama siapa kalo putus lawan ananti tiga instansi,nahh yes wkwkw andantara tek already kemenbumn already made and between companies under bumn according to the same who if it breaks up against ananti three agencies
29,danantara launching then korupsi bumn banyak bangettt hmmm,and between launching then bumn corruption a lot hmmm
30,prof dr darmadi anggota komisi vi dpr ri tegur beri ingat keras wakil menteri bumn dony oskaria rangkap jabat jadi coo danantara presiden prabowo boleh tunjuk karena langgar uu mk tri citra presiden jatuh,prof. dr. darmadi member of the commission vi dpr ri admonish give a stern recollection of the vice minister bumn dony oskaria duplicate so coo and among the presidents prabowo may appoint for violating uu mk tri the image of the president fell
31,prabowo langgar uu mk tunjuk bos danantara rangkap jabat ros ceo rangkap menteri investasi dony coo rangkap wkl menteri bumn investor tdk percaya danantara luncur danantara lemah ihsg anjlok saham bumn,prabowo langgar uu mk appoint boss and interstitial double ros ceo double investment minister dony coo double wkl minister bumn investor disbelieved and between glide and weak intermediary ihsg plummeted stock bumn
32,sudah jadi danadantara belum jadi makanya mahasiswa cegah kalau danantara korupsi semua bumn rontok sisa,has been made and the intermediate has not been made so that students prevent if and between corruption all the remaining fallout
33,danantara rupa langkah strategis atur aset negara lama ada bumn,and between the appearance of strategic steps to regulate old state assets there is a bumn
34,danantara maksimal dividen bumn pasti ganggu dana nasabah,and between the maximum bumn dividend must disturb customer funds
35,danantara maksimal dividen bumn pasti ganggu dana nasabah,and between the maximum bumn dividend must disturb customer funds
36,danantara maksimal dividen bumn pasti ganggu dana nasabah,and between the maximum bumn dividend must disturb customer funds
37,nah aneh danantara holding investasi apa lembaga zakat tarik aja duit bank bumn,well strange and between holding investments what zakat institutions just withdraw bumn bank money
38,danantara maksimal dividen bumn,and between maximum bumn dividends
39,sejak awal awal rilis danantara liat orang orang ada sana gw langsung kosongin saldo bank bumn bom waktu,since the beginning of the release and between seeing people there I immediately empty my bank balance bumn time bomb
40,nih contoh berita hoax danantara oalah ini orang rugi untung bumn satu gampang audit nanti audit transparan mudah kita baca suatu berita sesat kaumkaum terima bocor teriak nyaring,here is an example of hoax news and between this is the loss of profit bumn one easy audit later transparent audit we easily read a misguided news people receive leaked screaming loudly
41,danantara usaha investasi tidak punya cash 14ribu triliun upa aset bumn bukan cash investasi butuh duit cash,and between investment businesses do not have cash 14 thousand trillion upa assets bumn not cash investment need cash
42,danantara konsolidasi kuat ekonomi indonesia sama bumn bangun daya saing ekonomi lebih maju,and between the strong consolidation of the Indonesian economy and the development of more advanced economic competitiveness
43,investasi indonesia maksimal aset bumn pisah sekarang danantara investor makin percaya,indonesia's maximum investment in spring breakaway assets now and between investors is increasingly confident
44,danantara lembaga negara isolasi bumn intervensi politik kuasa yang laku negaranegara maju,and between state institutions of isolation bumn political intervention of power that behaves in developed countries
45,alas danantara kelola bumn moncer,bumn moncer management mats and intermediates
46,danantara kelola aset bumn tuju tingkat ekonomi nasional,and between managing bumn assets towards the national economic level
47,danantara kelola aset bumn tuju tingkat ekonomi nasional,and between managing bumn assets towards the national economic level
48,danantara rupa langkah strategis atur aset negara lama ada bumn lebih efektif arah,and between the form of strategic steps to regulate old state assets there is a more effective direction
49,menteri investasi jabat ceo danantara arti regulator rangkap operator dapat timbul konflik penting dewan awas isi tri bumn bukti gagal kelola bumn ketua dewan pakar eks koruptor perban pasar merespon negatif bukti ihsg lemah,"the investment minister of the CEO position and between the meaning of the regulator and the operator, an important conflict can arise, the board is aware of the contents of the tri bumn evidence of failure to manage bumn, the chairman of the board of experts of ex-corruptors of market bandages responds negatively to weak ihsg evidence"
